127.0.0.1 - - [25/Sep/2021:12:13:02 +0800] "POST /webapp/taqelah/messages/ HTTP/1.1" 201 105
127.0.0.1 - - [25/Sep/2021:12:27:12 +0800] "GET / HTTP/1.1" 200 11216
127.0.0.1 - - [25/Sep/2021:12:27:12 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
127.0.0.1 - - [25/Sep/2021:12:27:12 +0800] "GET /tomcat.css HTTP/1.1" 200 5581
127.0.0.1 - - [25/Sep/2021:12:27:12 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [25/Sep/2021:12:27:12 +0800] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
127.0.0.1 - - [25/Sep/2021:12:27:12 +0800] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [25/Sep/2021:12:27:12 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [25/Sep/2021:12:27:12 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [25/Sep/2021:12:27:12 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:22:45 +0800] "GET / HTTP/1.1" 200 11216
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:22:45 +0800] "GET /tomcat.css HTTP/1.1" 200 5581
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:22:45 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:22:45 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:22:45 +0800] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:22:45 +0800] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:22:45 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:22:45 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:22:46 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
